User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Fateh Ali,https://yt3.ggpht.com/ytc/AGIKgqND-uO_PipAEHwMZSFw__RtT8Z95R0ba8_x4a_ALA=s48-c-k-c0x00ffffff-no-rj,2 years ago,2,I'm so happy about this channel. You are bridging the gap between Industry and Academia. Thank you so much!
Fahad Bin Shahid,https://yt3.ggpht.com/ytc/AGIKgqNYZSLvTkSeJnf3fh08hi4qcPeHnm49XRM6Gnk8rA=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,"After Ayesha Mahmood, this is the podcast that I really liked and watched completely. Also Ehmad if you're listening, this is one of the things that takes a small step towards assisting our generation to achieve a better level. I have always wondered, how can we compete with our neighbour with their massive Tech Industry. Really happy for what you are doing.
Although it may be insignificant, but I would like to be a part of your this effort or to help you in any way whatsoever. Take Care."
Laiba Shahid,https://yt3.ggpht.com/ytc/AGIKgqPOqO7tqCFph5hQT7BTN7uGMLaNgRIzmNGy1A=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,"really appreciate your work .. You are doing amazing work and mentoring 
Sir actually im my self a Computer systems engineering 3rd semester student kindly guide me about the things other than coding as far as im not that interested in it as well as kindly do a detailed video on  graphics designing and ux designing and its scope.."
Mr Professor,,2 years ago,0,"Sir, I am a Computer Science Undergraduate and in 4th Semester, my previous 2 semesters and this is going online. I dont think to have a point in learning some subjects. I want to have some practical skills which i know what will be worth in the Industry. Can you guide which way to choose. I thought improving my python skill but i already dont point when i dont know where ill be utilizing it. Please guide us that should we do for getting real taste of Computer Science what well be doing after 4 years"
Naima Shaikh,,2 years ago,0,"Amazing content... please do share tips and resources for junior/entry level developers who are struggling to get a remote job opportunities.. 
Much respect for you!! "
Farhan Bajwa,,2 years ago,0,@Ehmad Zubair could you plz suggest the best course of React on udemy?
Adeen Ahmad Zia,,2 years ago,0,"Sir ,can't thank u enough for your mentoring..love you"
Talha Bukhari,,2 years ago,0,"Amazing content 
Highly appreciated "
Mr. ShadiRegistrar,,2 years ago,0,Great insight brother
Ahmed Raza,,1 year ago,0,Amazing content bro.
Najam Ul hassan,,2 years ago,0,content is just amazing
KAIF KAIF,,2 years ago,1,"Great apportunity to listen senior professional from industry, highly helpful for the student to have insight from professional and specially from company founders."
Abdul Ghafar,,2 years ago,0,You are doing a great work
ahmed mujtaba,,2 years ago,0,Great 
haris butt,,2 years ago,0,49:40 what were your skills... I mean what freelance service did you provide
Sarang Kashif,,1 year ago,0,24:37 15 year old here too Sirr 
Ahmad Waheed,https://yt3.ggpht.com/ytc/AGIKgqN2m8GmFg33DyF4GZKPVlSKpaf4g--YsTb-9Pd0=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,To much informative.
Menz Talk,https://yt3.ggpht.com/SXrQU9Y45cy-sqSPBREnri_90qyIIyC-ef_p7XQ1LVvGzk2emMC_iniPSglq-OvUUY7Bfhc3=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,"Assalamualakum

Sir, whats your thoughts on 
Virtual university of Pakistan?"
Problem,https://yt3.ggpht.com/ytc/AGIKgqM08pFg0Es4Cj-aN_DA4n40grtAI2JKuZSYye1B5A=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,When Django course will be uploaded ?
Abdul Haseeb,https://yt3.ggpht.com/ytc/AGIKgqNUc6wFWOuuFULQmu6YkhdVxPMVRnjSTs0hLE-ILQ=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,
Taha Soomro,https://yt3.ggpht.com/ytc/AGIKgqP7HHGhxJJvkkR_D8d-hjToSExJZOmVMkGTdw=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,lol what if your not smart as well hehe
Abdul Basit,https://yt3.ggpht.com/ytc/AGIKgqNHFiGKd22CY-B4ay71KSoJT5Ogw9-olLTYyXd-mg=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,First one 
Captain Mir,https://yt3.ggpht.com/ytc/AGIKgqMMMkzvmQuMr-PwX_I_yt289nu8ZEwmQSuovYqU=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,Sifarish is must
Shah Zaman Rai,https://yt3.ggpht.com/ytc/AGIKgqOZOsRipxHVriNBAMr25R1d4E92-S3VnQ1eRDJCBQ=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,Sir giveaway ka announce kab ho ga?
